diameterum,index,type,laser,sweepType,intrinsicQualityFactor,couplingQualityFactor,centerWavelengthnm,resnormFit
5.75,2,disc,Santec,DC sweep,1533.2629377775,268239.96753517,1484.83175018617,0.0845320460047138
5.75,2,disc,Santec,DC sweep,54101.049450012,1708069.63426473,1505.99793667531,0.00144489849461351
5.75,2,disc,Santec,DC sweep,5576.09663020821,86858.5857949937,1509.31141447049,0.101990340547275
5.75,2,disc,Santec,DC sweep,2722.10230672924,510317.46169122,1521.06401931165,0.00974303802331547
5.75,2,disc,Santec,DC sweep,16511.0223206658,1245503.37182443,1527.00119809036,0.00578446677613945
5.75,2,disc,Santec,DC sweep,17535.0190515126,85445.2561338249,1571.5079184065,0.32330513129022
5.75,2,disc,Santec,DC sweep,4346.25317918389,90824.1348179069,1579.3424565563,0.102296447523162
5.75,2,disc,Santec,DC sweep,28692.446366626,4088342.89500097,1581.47678986434,0.000184043593931791
5.75,2,disc,Santec,DC sweep,36545.3154900683,934028.241913035,1625.21732023119,0.00248029355998034
5.75,2,disc,Santec,DC sweep,7922.44137649902,428883.524135828,1636.63922230961,0.0139606172784826
5.75,4,disc,New Focus,DC sweep,19608.183154546,162157.505833103,1041.83686746435,0.00299284889444642
5.75,4,disc,New Focus,DC sweep,30125.2708472116,109415.666900982,1055.71206095263,0.00509615855093784
5.75,4,disc,New Focus,DC sweep,20521.1574434459,209547.522415689,1060.20863131739,0.00147278181271028
5.75,4,disc,New Focus,DC sweep,9561.49416251295,1619897.04936489,1060.47844160298,0.00940185806590286
5.75,4,disc,New Focus,DC sweep,15380.9069835014,106129.082757214,1066.99615114344,0.00469595864403261
5.75,4,disc,New Focus,piezo sweep,19112.0253105904,129619.181137174,1041.93267899342,1.10677762654856
5.75,5,toroid,New Focus,DC sweep,27031.1306400053,408147.675689403,1044.85673584992,0.00166371706213503
5.75,5,toroid,New Focus,DC sweep,41796.3683025737,579799.641106477,1057.35693863095,0.00050987463846562
5.75,5,toroid,New Focus,DC sweep,8560.70943623317,29589.5065009146,1065.87652635504,0.0297383071123905
5.75,5,toroid,New Focus,piezo sweep,33812.4381457863,148620.47540617,1044.93866980902,0.519192948250435
5.75,7,toroid,New Focus,DC sweep,14314.958998801,91649.2772898198,1061.72586131749,0.0037046055949903
5.75,10,disc,New Focus,DC sweep,16962.1444069424,325710.701307538,1053.47111796474,0.00106550429129341
5.75,10,disc,New Focus,DC sweep,4573.71259007271,301014.429893869,1055.32700783142,0.0405000678863271
5.75,10,disc,New Focus,DC sweep,6892.09683000839,205705.082024915,1055.84220171292,0.00016152102953672
5.75,10,disc,New Focus,DC sweep,17606.5655143766,677680.849782599,1056.08448667186,0.0148555633051395
5.9,1,toroid,Santec,DC sweep,4696.07458571628,1243122.71968599,1480.3168418241,0.29774022414468
5.9,1,toroid,Santec,DC sweep,21625.866160309,4294315.09718659,1480.4998529885,0.283896685460038
5.9,1,toroid,Santec,DC sweep,1368.04232741297,17873.1338752214,1500.14724107006,0.144170364522608
5.9,1,toroid,Santec,DC sweep,2025.47450034674,57469.5617651211,1507.95200725516,0.0270765945256323
5.9,1,toroid,Santec,DC sweep,1785.6613265211,21507.1938975176,1538.76174214162,2.41430907371998
5.9,1,toroid,Santec,DC sweep,8556.42306628427,280234.102594129,1600.34988301511,0.0270790493062691
5.9,1,toroid,Santec,DC sweep,3693.32990544965,315404.976263691,1626.64157920303,0.00805152044613072
5.9,2,disc,Santec,DC sweep,8982.91761442312,255223.436039013,1487.42229673213,0.0258648939803968
